Smith's Manufacturing Jewellers,U070,,1688.0,506.0,0
Sterns,U026,,1066.0,598.0,0
Yadik Pearls,Kiosk,,35.0,61.0,0
Alberto P,U016A,,888.0,550.0,0
The Matador Luggage,L049,,1366.0,316.0,0
BT Games,L041,,1254.0,330.0,0
Computicket,U127,,417.0,460.0,0
U092/093,(011) 452 1747 /,,32.0,32.0,0
Jimmy Jungles,U115E,,379.0,39.0,0
Musica,L097,,1190.0,414.0,0
Rush Trampoline Park,L104,,966.0,458.0,0
Ster-Kinekor,L033,,1034.0,294.0,0
The Fun Company,L043,,1196.0,330.0,0
Absolute Pets,U027,,1075.0,556.0,0
3@1,L013,,468.0,264.0,0
Dixon Adventure Centre,L0135,,1695.0,412.0,0
SA Post Office,L066,,1760.0,320.0,0
Telkom Direct,L011,,432.0,252.0,0
Cartridge Zone,U050,,1338.0,531.0,0
Party City,L05,,444.0,302.0,0
Smokers Corner / JJ Cale,L081,,1478.0,364.0,0
Verimark Emporium,U030,,1074.0,517.0,0
Cape Union Mart,U076,,1816.0,606.0,0
Duesouth,U042,,1295.0,607.0,0
Mr Price Sport,U066,,1650.0,416.0,0
Totalsports,U038,,1197.0,607.0,0
Hamleys,L115,,782.0,340.0,0
Cruise About,L045,,1288.0,347.0,0
Flight Centre,L071,,1614.0,320.0,0
Pentravel,U033,,1146.0,540.0,0
